tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
99001,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190X North Point St,7.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2011-04-18,,3x3,37.8028510037355,-122.443247276641
253633,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1909 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,2019-05-22,,3x3,37.7613106149039,-122.48261754308001
96059,Permitted Site,Afrocarpus gracilior :: Fern Pine,101 Montcalm St,1.0,Sidewalk: Curb side : Cutout,Private,2011-08-03,,3x3,37.746560384348705,-122.406484424587
37613,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,423 17th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-26,7.0,,37.779949576589104,-122.47620662242201
64585,Permitted Site,Ginkgo biloba :: Maidenhair Tree,3370 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,1991-10-24,,,37.7552755548974,-122.422574654764
34097,Permitted Site,Prunus serrulata :: Ornamental Cherry,600 Miramar Ave,2.0,Sidewalk: Curb side : Cutout,Private,1997-07-05,,,37.727618034343706,-122.45809832977899
68438,Permitted Site,Prunus cerasifera :: Cherry Plum,184 Edgewood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-08-26,,,37.7626121397886,-122.454856769495
68831,Permitted Site,Agonis flexuosa :: Peppermint Willow,118 Flood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-11-30,,,37.729979487143,-122.442473182831
36501,Permitted Site,Prunus cerasifera :: Cherry Plum,202 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.740308605683104,-122.41526424770599
32352,Permitted Site,Lophostemon confertus :: Brisbane Box,2180 Bryant St,2.0,Sidewalk: Curb side : Cutout,Private,1996-10-03,,,37.759425492984704,-122.409957725672
18473,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1255 Potrero Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2013-11-15,3.0,3x3,37.7522854344497,-122.40611476119301
108570,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,40 Sweeny St,1.0,Sidewalk: Curb side : Cutout,Private,2014-12-24,3.0,3x3,37.733296619935004,-122.407073064382
32787,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,1661 Fulton St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29,,,37.7760286983996,-122.444115767373
56394,DPW Maintained,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1371 Thomas Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-08-17,11.0,,37.7279001350956,-122.387033612146
58135,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2900 Clay St,1.0,Sidewalk: Curb side : Cutout,Private,1978-02-27,12.0,,37.7899187687789,-122.440978267234
42131,Permitted Site,Melaleuca quinquenervia :: Cajeput,170 Staples Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-21,,,37.729157679141395,-122.445883937962
93347,DPW Maintained,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,2100X Turk Blvd,30.0,Sidewalk: Curb side : Cutout,DPW,2008-11-21,3.0,3x3,37.779314771487996,-122.44375035157302
147476,DPW Maintained,Olea europaea 'Wilsonii' :: Wilson Olive Semi-fruitless,771 20th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2019-11-18,0.0,Width 4ft,37.773345231137796,-122.47895395906001
42452,Permitted Site,Callistemon citrinus :: Lemon Bottlebrush,535 Mangels Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-23,,,37.7329936316231,-122.44968754248
35003,DPW Maintained,Cordyline australis :: Dracena Palm,3508 Balboa St,1.0,Sidewalk: Curb side : Cutout,Private,2013-04-01,3.0,,37.775831878815495,-122.49642382506
44768,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,712 Bryant St,1.0,Sidewalk: Curb side : Cutout,Private,2001-04-12,6.0,,37.777554106883706,-122.400765825683
30973,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1928 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-13,,,37.7935250709422,-122.42684151874799
82678,Permitted Site,Casurina stricta :: Beefwood: Drooping She-Oak,1 Ignacio Ave,5.0,Sidewalk: Curb side : Cutout,Private,2009-07-08,,3x3,37.715057595207796,-122.388514940902
37230,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1775 35th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-12,,,37.753966330942795,-122.493742738719
93822,Permitted Site,Pyrus kawakamii :: Evergreen Pear,178 Bluxome St,11.0,Sidewalk: Curb side : Cutout,Private,2010-04-05,,3x3,37.7744697656056,-122.40000821426001
57413,DPW Maintained,Prunus cerasifera :: Cherry Plum,100 Commonwealth Ave,1.0,Sidewalk: Curb side : Cutout,Private,1976-09-08,5.0,,37.78374972289961,-122.455606076565
258169,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,148 Felton St,4.0,Sidewalk: Curb side : Cutout,DPW,2017-08-05,3.0,3x3,37.7297020458087,-122.406095661025
5490,DPW Maintained,Pistacia chinensis :: Chinese Pistache,714 Dolores St,1.0,Sidewalk: Curb side : Cutout,Private,2015-12-28,1.0,4X4,37.757908995925206,-122.425892952911
24516,DPW Maintained,Lophostemon confertus :: Brisbane Box,1695X Gough St,1.0,Sidewalk: Curb side : Cutout,DPW,1995-05-20,18.0,3X3,37.788943794726,-122.425500330831
46698,Permitted Site,Maytenus boaria :: Mayten,1426 12th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2002-04-22,,,37.7615173571762,-122.46926606870899
98372,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,89 Montana St,1.0,Sidewalk: Curb side : Cutout,Private,2012-02-07,,3x3,37.7163800987704,-122.45581514154499
53654,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1323 Polk St,1.0,Sidewalk: Curb side : Cutout,Private,1969-12-17,2.0,,37.789079487478205,-122.420468261828
88156,DPW Maintained,Pyrus calleryana :: Ornamental Pear,353 Clementina St,1.0,Sidewalk: Curb side : Cutout,Private,2008-07-08,3.0,3x3,37.781537513589,-122.40279954895901
65883,DPW Maintained,Ceratonia siliqua :: Carob,3100X Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,2013-04-23,3.0,,37.798174776289294,-122.435637321312
37009,Permitted Site,Liquidambar styraciflua :: American Sweet Gum,1160 Alabama St,1.0,Sidewalk: Curb side : Cutout,Private,2002-06-08,,,37.753311244715704,-122.41111443855101
32693,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,3732 23rd St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29,1.0,,37.7534451551954,-122.42610311279199
42702,Permitted Site,Prunus cerasifera :: Cherry Plum,1401 Shotwell St,2.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.746537177160604,-122.41497367347401
47159,Permitted Site,Ginkgo biloba :: Maidenhair Tree,200 San Fernando Way,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-10,,3x3,37.7331409014555,-122.46965070979601
91454,Permitted Site,Ginkgo biloba :: Maidenhair Tree,680x WASHINGTON ST,3.0,Sidewalk: Curb side : Cutout,Private,2009-04-10,,3x3,37.7955423680345,-122.404841229346
52209,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,940 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,2010-05-10,18.0,4x6,37.776681825025705,-122.432505717559
3608,DPW Maintained,Quercus ilex :: Holly Oak,100X Cargo Way,44.0,Sidewalk: Curb side : Cutout,Port,2006-03-07,3.0,3X3,37.7421536371939,-122.380054237523
72669,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,203 04th Ave,6.0,Sidewalk: Curb side : Cutout,Private,1997-08-02,2.0,,37.7845894043596,-122.462463528658
88573,Permitted Site,Olea europaea :: Olive Tree,488 18th Ave,,Sidewalk: Curb side : Cutout,Private,2008-07-31,,3x3,37.7787969444241,-122.476923593538
48603,Permitted Site,Crataegus phaenopyrum :: Washington Hawthorn,45 Granville Way,1.0,Sidewalk: Curb side : Cutout,Private,2002-08-30,,,37.740638677970296,-122.461157347766
85873,Permitted Site,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,2394 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,2007-05-22,3.0,3x3,37.7589422028837,-122.414697726814
65119,DPW Maintained,Pittosporum undulatum :: Victorian Box,85 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,1989-07-24,6.0,,37.786178724039104,-122.48096112496599
38819,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,224 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-10-30,7.0,,37.7844411319547,-122.461227125223
91680,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,565 South Van Ness Ave,3.0,Sidewalk: Curb side : Cutout,DPW,2007-03-01,9.0,3x3,37.7641496522652,-122.41731832527799
29322,DPW Maintained,Lophostemon confertus :: Brisbane Box,1250X Portola Dr,11.0,Median : Cutout,DPW,2005-10-14,3.0,3X3,37.740047120975795,-122.46334105655001
93223,Permitted Site,Prunus serrulata :: Ornamental Cherry,1509 Shrader St,1.0,Sidewalk: Curb side : Cutout,Private,2010-03-01,,3x3,37.761388850272,-122.450600038983
13864,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1000 Market St,3.0,Sidewalk: Curb side : Cutout,DPW,1993-09-28,6.0,4x4,37.7822858053101,-122.410369845025
252997,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1201 Tennessee St,6.0,Sidewalk: Curb side : Cutout,Private,2017-07-10,3.0,,37.756330202721,-122.389034232236
36534,Permitted Site,Prunus cerasifera :: Cherry Plum,3746 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.7396624346486,-122.41344605713002
29995,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,734 14th St,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-19,3.0,3x3,37.7677586821573,-122.429656338668
66032,DPW Maintained,Pittosporum undulatum :: Victorian Box,743 Paris St,1.0,Sidewalk: Curb side : Cutout,Private,1990-07-24,7.0,,37.7171832464915,-122.43823478371
113606,Section 143,Olea europaea :: Olive Tree,2900 18TH ST,4.0,Sidewalk: Curb side : Cutout,Private,2015-10-05,,3x3,37.7617728518996,-122.411570131816
181036,DPW Maintained,Podocarpus gracilor :: Fern Pine,170 Rolph St,2.0,Sidewalk: Curb side : Yard,Private,2017-10-05,3.0,Width 4ft,37.7143955675655,-122.438628565353
25200,DPW Maintained,Lophostemon confertus :: Brisbane Box,23 Franklin St,2.0,Sidewalk: Curb side : Cutout,DPW,1995-01-07,12.0,3X3,37.7745787547471,-122.420919156112
19246,DPW Maintained,Pittosporum undulatum :: Victorian Box,717 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,2007-12-04,4.0,3X3,37.776701947498296,-122.436509837189
69510,Permitted Site,Arbutus unedo :: Strawberry Tree,456 Nevada St,1.0,Sidewalk: Curb side : Cutout,Private,1994-05-24,,,37.7363008518361,-122.411767856956
65199,Permitted Site,Ficus microcarpa :: Chinese Banyan,393 Madrid St,1.0,Sidewalk: Curb side : Cutout,Private,1989-07-29,,,37.723266808431795,-122.431452793676
44444,DPW Maintained,Melaleuca quinquenervia :: Cajeput,287 South Hill Blvd,2.0,Sidewalk: Curb side : Cutout,Private,2001-03-23,9.0,,37.7091466267865,-122.429960876109
45721,Permitted Site,Pyrus calleryana :: Ornamental Pear,235 02nd St,22.0,Sidewalk: Curb side : Cutout,Private,2001-10-05,,,37.7863297261158,-122.397566379799
88649,Permitted Site,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,135 Fillmore St,,Sidewalk: Curb side : Cutout,Private,2016-05-17,3.0,3x3,37.7708222270411,-122.43045261886999
74565,DPW Maintained,Pyrus calleryana :: Ornamental Pear,2 Townsend St,13.0,Sidewalk: Curb side : Cutout,Private,1996-01-27,9.0,,37.781409515787104,-122.38967675677601
22709,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1420 Turk St,6.0,Sidewalk: Curb side : Cutout,Private,2001-03-08,6.0,3X3,37.780389210721005,-122.433465208396
58970,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,225 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1980-04-02,19.0,,37.7840833556389,-122.461368992563
86127,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1674 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-18,3.0,3x3,37.7563384124724,-122.48191410379299
66694,Permitted Site,Lophostemon confertus :: Brisbane Box,281 TURK ST,1.0,Sidewalk: Curb side : Cutout,Private,1991-07-08,,,37.782707425405995,-122.413749512975
12782,DPW Maintained,Pittosporum undulatum :: Victorian Box,1916 Lake St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-02-23,30.0,3x3,37.786044069371705,-122.480254344861
33858,Permitted Site,Olea europaea :: Olive Tree,23 Kronquist Ct,1.0,Sidewalk: Curb side : Cutout,Private,1997-02-12,,,37.746845115916294,-122.434914374282
31769,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,1850 Ulloa St,3.0,Sidewalk: Curb side : Cutout,Private,1995-06-19,3.0,,37.7412374811669,-122.476249599037
34041,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2450 17th St,2.0,Sidewalk: Curb side : Cutout,Private,2007-06-06,5.0,,37.764502320640396,-122.40827143170799
16286,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,700X Monterey Blvd,3.0,Median : Cutout,DPW,2003-02-02,12.0,5,37.7316223027997,-122.45117096626998
103543,DPW Maintained,Lophostemon confertus :: Brisbane Box,1980X Polk St,5.0,Sidewalk: Curb side : Cutout,Private,2013-05-22,,3x3,37.7948571127085,-122.42147809829399
54625,Permitted Site,Pittosporum crassifolium :: Karo Tree,1477 05th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1992-12-04,,,37.7609444021205,-122.461891425583
94828,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1307 05th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2010-11-10,,3x3,37.764011227741904,-122.462192388622
41574,Permitted Site,Lophostemon confertus :: Brisbane Box,55 Grattan St,1.0,Sidewalk: Curb side : Cutout,Private,1979-04-17,,,37.7640327153601,-122.448986388528
5438,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,500X Dolores St,6.0,Sidewalk: Curb side : Cutout,Rec/Park,1992-02-19,20.0,6,37.7607530425379,-122.426154109737
2665,DPW Maintained,Myoporum laetum :: Myoporum,2031 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,1991-01-01,12.0,3X3,37.787255885128396,-122.430628406293
42579,Permitted Site,Prunus cerasifera :: Cherry Plum,161 San Leandro Way,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.73381382645321,-122.468638922374
37391,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,95 Newton St,3.0,Sidewalk: Curb side : Cutout,Private,1998-06-15,,,37.7133445267591,-122.438522184842
35556,Permitted Site,Jacaranda mimosifolia :: Jacaranda,121 Fair Oaks St,1.0,Sidewalk: Curb side : Cutout,Private,1998-03-23,,,37.7547556297845,-122.42416602832701
34065,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1960 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,1998-02-21,,,37.7659492963405,-122.41545873051099
46524,Permitted Site,Lophostemon confertus :: Brisbane Box,2355 Folsom St,12.0,Sidewalk: Curb side : Cutout,Private,2002-03-29,,,37.7596259002337,-122.414668990427
39818,Permitted Site,Cordyline australis :: Dracena Palm,2101 46th Ave,2.0,Sidewalk: Curb side : Cutout,Private,1999-01-06,,,37.7473074654157,-122.505100399713
13110,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1599 Lombard St,2.0,Sidewalk: Curb side : Cutout,Private,1994-06-22,16.0,3x3,37.800844477708004,-122.427376906198
30915,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,212 Granada Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-13,4.0,,37.7219682791959,-122.45709260475401
41729,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,99X 14th St,3.0,Sidewalk: Curb side : Cutout,Private,2000-06-19,,,37.7684640195804,-122.415516624702
36799,DPW Maintained,Quercus rubra :: Red Oak,1355 Donner Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-26,4.0,,37.7217360581121,-122.389514780813
106923,Undocumented,Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',196 States St,1.0,Sidewalk: Property side : Yard,Private,2014-06-30,,,37.7637969766711,-122.43958767886002
12332,Permitted Site,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1105X Turk St,1.0,Sidewalk: Curb side : Cutout,Private,2005-12-15,3.0,3X3,37.78103749568189,-122.427347425327
54993,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,681 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-09-12,4.0,,37.775251821012795,-122.474801107552
69070,Permitted Site,Pittosporum crassifolium :: Karo Tree,1418 14th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1994-01-10,,,37.7615659811295,-122.471421651008
36338,Permitted Site,Prunus serrulata :: Ornamental Cherry,47 Eastwood Dr,2.0,Sidewalk: Curb side : Cutout,Private,1998-05-14,,,37.7264778306363,-122.45733685578699
35854,Permitted Site,Prunus x yedoensis :: Yoshino Cherry,142 Russia Ave,4.0,Sidewalk: Curb side : Cutout,Private,1998-05-02,,,37.7209827425077,-122.43608467293801
93373,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2800 Turk Blvd,19.0,Sidewalk: Curb side : Cutout,DPW,2008-11-24,3.0,3x3,37.7780894288895,-122.451577860296
39087,Permitted Site,Lophostemon confertus :: Brisbane Box,3140 21st St,2.0,Sidewalk: Curb side : Cutout,Private,1998-11-18,,,37.757184385901496,-122.41761479761601
12788,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1933 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,2006-03-23,6.0,3X3,37.7858901196349,-122.480398844283
45603,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1100 Fillmore St,4.0,Sidewalk: Curb side : Cutout,Private,2001-08-06,14.0,,37.779665941263104,-122.43171536011101
